Sl No,Discrimination,Difficulty,Guessing,Inattention,Question,A,B,C,D,Answer
1,1,2.559853829,0,1,What is 2+2,4,5,6,8,A
2,1,-0.927076702,0,1,What is 7+9,12,13,15,16,D
3,1,-2.317823388,0,1,What is 9-9,1,2,0,-1,C
4,1,-2.697151241,0,1,How much is 5+5,10,12,9,0,A
5,1,1.869739445,0,1,How much is 12-3,8,9,10,11,B
6,1,1.005555693,0,1,How much is 17-21,-4,0,1,-1,A
7,1,2.023290188,0,1,How much is 19+2,19,20,21,22,C
8,1,-0.746741583,0,1,How much is 14-11,1,2,3,4,C
9,1,2.251803021,0,1,How much is 3+4,4,5,6,7,D
10,1,-1.045393542,0,1,How much is 7+8,14,15,16,17,B
11,1,1.610468711,0,1,How much is 0+0,0,1,2,3,A
12,1,2.959040207,0,0,How much is 123+0,121,122,123,124,C
13,1,1.961133201,0,1,How much do you love this app,0,10,100,Infinite,D
14,1,-0.379404879,0,1,How much is 17+3,19,20,21,22,B
15,1,1.518598002,0,1,How much is 18+18,33,35,36,39,C
16,1,-0.682619761,0,1,How much is 20+18,38,39,40,41,A
17,1,2.709579026,0,1,How much is 20-18,38,30,2,22,C
18,1,-2.343414648,0,1,How much is 10-4,3,4,5,6,D
19,1,1.458217886,0,1,How much is 7+10,17,18,19,20,A
20,1,3.202002683,0,1,How much is 2/2,1,2,0,22,A
21,1,3.323451146,0,1,How much is 7*9,16,61,62,63,D
22,1,-3.558160303,0,1,What is 9*9,18,1,81,0,C
23,1,-0.810586584,0,1,How much is 5+5,25,24,23,22,A
24,1,1.483845525,0,1,How much is 12/3,3,4,5,6,B
25,1,-1.346364103,0,1,How much is 21/7,3,4,5,6,A
26,1,0.336826619,0,1,How much is 19*2,19,20,38,39,C
27,1,-3.417017758,0,1,How much is 14/1,1,4,14,44,C
28,1,2.584766613,0,1,How much is 3*4,10,3,4,12,D
29,1,1.969449111,0,1,How much is 7*8,7,56,8,65,B
30,1,-0.762537289,0,1,How much is 0*0,0,1,2,3,A
31,1,1.159321629,0,1,How much is 123*0,123,1,0,None of the above,C
32,1,3.466076822,0,1,How much 27/4,8,3,1,Not an Integer,D
33,1,-0.371225163,0,1,How much is 17*3,173,51,17,3,B
34,1,-1.762501014,0,1,How much is 18/18,0,18,1,36,C
35,1,0.925172811,0,1,How much is 20/2,10,9,8,7,A
36,1,-1.319638942,0,1,How much is 20*18,380,200,360,180,C
37,1,-0.911049568,0,1,How much is 10*4,10,20,30,40,D
38,1,-2.262060566,0,1,How much is 7*10,70,80,90,100,A
39,1,-0.522566795,0,1,What is 2^2,4,8,16,2,A
40,1,-1.461759241,0,1,What is remainder of 7/9,0,1,9,7,D
41,1,-0.799359574,0,1,What is 9/0,1,0,Undefined,Infinite,C
42,1,-0.272826084,0,1,How much is 55*5,275,0,1,2,A
43,1,-0.111104241,0,1,How much is 12^2,36,144,6,0,B
44,1,1.590043281,0,1,HCF of 17 and 21 is,1,0,17,21,A
45,1,2.950417163,0,1,LCM of 19 and 2 is,19,2,38,1,C
46,1,-1.095143359,0,1,What is quotient of 97/32,1,2,3,4,C
47,1,0.217451052,0,1,How much is 3^4,3,9,27,81,D
48,1,-2.506977144,0,1,How much is 8+8/4,8,10,4,2,B
49,1,-1.573815206,0,1,How much is 11^0,1,0,11,None of the Above,A
50,1,2.711900931,0,1,How much is 123+876,0,111,999,1999,C
51,1,1.197249189,0,1,Name an App better than this,XXX,YYY,ZZZ,None,D
